title,year,runtime,genre,imdb_rating,votes,certificate,metascore,gross
Техасская резня бензопилой: Кожаное лицо,2017,90,"['Crime', 'Horror', 'Thriller']",5.0,25691,18+,40,0
Men at Work,1990,98,"['Action', 'Comedy', 'Crime']",5.9,25685,NaN,34,16247964
Tenebre,1982,101,"['Drama', 'Horror', 'Mystery']",7.0,25682,18+,83,0
"Осторожно, заложник!",1994,97,"['Comedy', 'Crime', 'Drama']",6.9,25680,R,59,11439193
Спутник,2020,113,"['Drama', 'Horror', 'Mystery']",6.4,25674,16+,61,0
Перехват,2022,99,"['Action', 'Adventure', 'Drama']",4.6,25670,NaN,51,0
По версии Барни,2010,134,"['Comedy', 'Drama']",7.3,25670,16+,67,7502560
B oтрыв!,1999,99,"['Comedy', 'Music']",7.1,25662,18+,53,104257
Хороший немец,2006,105,"['Drama', 'Mystery', 'Romance']",6.0,25658,16+,49,1308696
3 Men and a Little Lady,1990,104,"['Comedy', 'Drama', 'Family']",5.4,25655,NaN,51,71609321
Пропавшая,2022,95,"['Action', 'Mystery', 'Thriller']",5.6,25652,16+,0,0
Копия верна,2010,106,"['Drama', 'Romance']",7.2,25650,NaN,82,1337384
Pete's Dragon,1977,128,"['Animation', 'Adventure', 'Comedy']",6.3,25638,NaN,46,40100000
"Шалом, папик!",2020,77,"['Comedy', 'Drama']",7.1,25632,NaN,79,0
Крокодил Данди в Лос-Анджелесе,2001,95,"['Action', 'Adventure', 'Comedy']",4.8,25619,12+,37,25635682
Marty,1955,90,"['Drama', 'Romance']",7.7,25611,NaN,0,0
Нет,2012,118,"['Drama', 'History']",7.4,25593,R,81,2343664
Контракт,2006,96,"['Action', 'Crime', 'Drama']",5.6,25573,R,0,0
Без изъяна,2007,108,"['Crime', 'Drama', 'Thriller']",6.7,25566,PG-13,57,1200234
Огненный путь,2012,174,"['Action', 'Crime', 'Drama']",6.9,25561,NaN,0,1981605
Рождение нации,1915,195,"['Drama', 'History', 'War']",6.2,25548,NaN,0,10000000
Озеро Мунго,2008,87,"['Drama', 'Horror', 'Mystery']",6.3,25538,R,0,0
Вуайеристы,2021,116,"['Drama', 'Mystery', 'Thriller']",6.0,25534,R,54,0
Бессмертная возлюбленная,1994,121,"['Biography', 'Drama', 'Music']",7.4,25529,R,0,9914409
The Final Countdown,1980,103,"['Action', 'Adventure', 'Sci-Fi']",6.6,25525,NaN,51,16647800
Маршалл,2017,118,"['Biography', 'Crime', 'Drama']",7.3,25522,PG-13,66,10051659
