title,year,country,director,actor_1,actor_2,ratingKP
За мной последний танец,2001,США,Томас Картер,Джулия Стайлз,Шон Патрик Томас,7.244
Проклятие Чаки,2013,США,Дон Манчини,Фиона Дуриф,Даниэль Бисутти,5.144
Неправильные копы,2013,Франция,Квентин Дюпьё,Марк Бёрнэм,Эрик Жюдор,6.064
Дневная красавица,1967,Франция,Луис Бунюэль,Катрин Денёв,Жан Сорель,7.462
Пес под прикрытием,2019,США,Дэн Хантер,Гуд-Бисли,Кэйси Сеймур Ким,7.332
Prada и чувства,2011,Мексика,Анхель Грасиа,Камилла Белль,Алекса ПенаВега,6.243
Жесть,2006,Россия,Денис Нейманд,Алёна Бабенко,Михаил Ефремов,5.402
Антикиллер Д.К: Любовь без памяти,2009,Россия,Эльдар Салаватов,Гоша Куценко,Екатерина Климова,5.73
Кин,2017,США,Джонатан Бэйкер,Майлс Труитт,Джек Рейнор,5.9
Итальянец,2005,Россия,Андрей Кравчук,Коля Спиридонов,Мария Кузнецова,7.714
Похититель времени,2021,Канада,Френсис Леклерк,Эмиль Пруль-Клутье,Мишель Делорьер,6.202
Майкл Клейтон,2007,США,Тони Гилрой,Джордж Клуни,Тильда Суинтон,6.712
Объединённая зона безопасности,2000,Корея,Пак Чхан-ук,Ли Бён-хон,Сон Кан-хо,7.947
Лицензия на убийство,1989,Великобритания,Джон Глен,Тимоти Далтон,Кэри Лоуэлл,6.926
...По прозвищу «Зверь»,1990,СССР,Александр Муратов,Дмитрий Певцов,Татьяна Скороходова,6.603
Бэйб: Поросенок в городе,1998,Австралия,Джордж Миллер,Магда Шубански,Джеймс Кромуэлл,6.057
Эйфория,2017,Великобритания,Лиза Лангсет,Ева Грин,Алисия Викандер,6.086
Американский пирог: Книга любви,2009,США,Джон Путч,Юджин Леви,Баг Холл,5.016
Молот,2016,Россия,Нурбек Эген,Алексей Чадов,Антон Шагин,5.774
Король Радбод,2018,Нидерланды,Роэль Рейн,Гийс Нейбр,Лиса Смит,6.434
Крутящий момент,2003,США,Джозеф Кан,Мартин Хендерсон,Айс Кьюб,5.811
Он и она,2019,Франция,Седрик Клапиш,Франсуа Сивиль,Ана Жирардо,6.72
Как важно быть серьезным,2002,Великобритания,Оливер Паркер,Руперт Эверетт,Колин Фёрт,7.44
Как выйти замуж за миллионера,1953,США,Жан Негулеско,Бетти Грэйбл,Мэрилин Монро,7.656
Молодые копы,2017,Корея,Ким Джу-хван,Пак Со-джун,Кан Ха-ныль,7.344
Река памяти,2016,Россия,Станислав Назиров,Светлана Смирнова-Кацагаджиева,Станислав Бондаренко,6.517
Святая Агата,2018,США,Даррен Линн Боусман,Сабрина Керн,Кэролин Хеннеси,4.893
Счастливого Рождества,2005,Франция,Кристиан Карион,Дайан Крюгер,Бенно Фюрман,7.824
Казахи против пришельцев,2022,Казахстан,Ален Ниязбеков,Бауыржан Сатов,Жулдыз Омиргали,6.589
Убийство в Париже,2023,США,Джереми Гарелик,Адам Сэндлер,Дженнифер Энистон,5.872
Обыкновенная страсть,2020,Франция,Даниэль Арбид,Летиция Дош,Сергей Полунин,5.645
Британский психопат,2019,Великобритания,Джесси Джонсон,Скотт Эдкинс,Крэйг Фэйрбрасс,6.597
"То, что её заводит",2011,Норвегия,Яннике Систад Якобсен,Хелен Бергшолм,Малин Бьорховде,5.456
Освобождение,2022,США,Антуан Фукуа,Уилл Смит,Бен Фостер,6.543
Шоу ужасов Рокки Хоррора,1975,Великобритания,Джим Шармен,Тим Карри,Сьюзен Сарандон,7.791
Последние девушки,2014,США,Тодд Штраус-Шульсон,Таисса Фармига,Малин Акерман,5.89
Конец операции «Резидент»,1986,СССР,Вениамин Дорман,Георгий Жжёнов,Пётр Вельяминов,7.493
Одержимая,1981,Франция,Анджей Жулавский,Изабель Аджани,Сэм Нил,7.678
Медсестра,2013,США,Дуглас Арниокоски,Пас де ла Уэрта,Катрина Боуден,6.299
Железный кулак,2012,США,RZA,RZA,Рассел Кроу,5.669
Лиловый шар,1987,СССР,Павел Арсенов,Александр Гусев,Наталья Мурашкевич,6.709
Преодоление,2006,США,Эриксон Кор,Марк Уолберг,Грег Кинниэр,7.549
Джанго,1966,Италия,Серджио Корбуччи,Франко Неро,Хосе Бодало,7.452
Онегин,1998,Великобритания,Марта Файнс,Рэйф Файнс,Лив Тайлер,7.008
Золото джунглей,2017,Испания,Агустин Диас Янес,Рауль Аревало,Барбара Ленни,5.847
Корпоративка,2006,Великобритания,Кристофер Смит,Тоби Стивенс,Клоди Блейкли,5.995
Новизна,2017,США,Дрейк Доримус,Николас Холт,Лайа Коста,6.295
Последний хранитель Беловодья,2016,Россия,Евгений Бедарев,Александр Петров,Карина Разумовская,6.978
Покидая Неверленд,2019,Великобритания,Дэн Рид,Майкл Джексон,Уэйд Дж. Робсон,6.18
Ночной оборотень,2022,США,Майкл Джаккино,Гаэль Гарсиа Берналь,Лаура Доннелли,6.832
Куклы,2002,Япония,Такеши Китано,Михо Канно,Хидэтоси Нисидзима,7.809
Материнский инстинкт,2018,Франция,Оливье Массе-Депасс,Верле Батенс,Анн Косенс,6.51
На пределе,2017,Германия,Фатих Акин,Дайан Крюгер,Денис Москитто,6.757
Чемпион,2010,США,Рэндалл Уоллес,Дайан Лэйн,Джон Малкович,7.694
