title,year,country,director,actor_1,actor_2,ratingKP
Жуткая семейка,2021,Италия,Вольфанго Де Биази,Эмануэла Реи,Кристиано Каккамо,6.752
Каратель,2004,США,Джонатан Хенсли,Томас Джейн,Джон Траволта,6.654
Блондинка в законе 2,2003,США,Чарльз Херман-Вёрмфелд,Риз Уизерспун,Салли Филд,5.829
Падение ангела,2019,США,Рик Роман Во,Джерард Батлер,Морган Фриман,6.243
Иллюзия контроля,2022,Великобритания,Владэк Занковски,Олег Фендюра,Татьяна Коновалова,6.976
Неприкасаемые,1987,США,Брайан Де Пальма,Кевин Костнер,Шон Коннери,7.801
Поменяться местами,1983,США,Джон Лэндис,Дэн Эйкройд,Эдди Мерфи,7.662
Жанна д'Арк,1999,Франция,Люк Бессон,Милла Йовович,Джон Малкович,7.253
Без изъяна,2007,Великобритания,Майкл Рэдфорд,Деми Мур,Майкл Кейн,7.194
Поцелуй дракона,2001,Франция,Крис Наон,Джет Ли,Бриджит Фонда,7.648
Пятница,2016,Россия,Евгений Шелякин,Данила Козловский,Сергей Бурунов,6.571
Храбрые перцем,2010,США,Дэвид Гордон Грин,Дэнни Макбрайд,Джеймс Франко,5.948
Трудный день,2014,Корея,Ким Сон-хун,Ли Сон-гюн,Чо Джин-ун,7.215
Соник 2 в кино,2022,США,Джефф Фаулер,Джеймс Марсден,Джим Керри,6.359
Битва за Землю,2019,США,Руперт Уайатт,Джон Гудман,Вера Фармига,5.673
"Крадущийся тигр, затаившийся дракон",2000,Тайвань,Энг Ли,Чоу Юнь-Фат,Мишель Йео,7.368
В случае убийства набирайте «М»,1954,США,Альфред Хичкок,Рэй Милланд,Грэйс Келли,8.111
Зачинщики,2016,США,Джаред Хесс,Зак Галифианакис,Оуэн Уилсон,5.98
Не стучи дважды,2016,Великобритания,Карадог В. Джеймс,Кэти Сакхофф,Люси Бойнтон,4.91
Клерки,1994,США,Кевин Смит,Брайан О’Хэллоран,Джефф Андерсон,7.727
Проект Power,2020,США,Генри Джуст,Джейми Фокс,Джозеф Гордон-Левитт,6.057
Умник,2018,Франция,Стефан Аршинар,Арно Дюкре,Макс Бесетт де Малглейв,7.792
Дорожное приключение,2000,США,Тодд Филлипс,Брекин Мейер,Шонн Уильям Скотт,7.094
Аполлон 18,2011,США,Гонсало Лопес-Гальего,Уоррен Кристи,Ллойд Оуэн,6.053
Великолепная афера,2003,США,Ридли Скотт,Николас Кейдж,Сэм Рокуэлл,7.379
Перевозчик: Наследие,2015,Франция,Камиль Деламарр,Эд Скрейн,Рэй Стивенсон,5.121
Без границ,2015,Россия,Карен Оганесян,Инна Чурикова,Олег Басилашвили,6.785
Бруклин,2015,Великобритания,Джон Краули,Сирша Ронан,Эмори Коэн,7.137
Один дома 4,2002,США,Род Дэниэл,Френч Стюарт,Эрик Авари,3.075
Дом из песка и тумана,2003,США,Вадим Перельман,Дженнифер Коннелли,Бен Кингсли,7.75
