title,country,director,actor_1,actor_2,ratingKP
Добро пожаловать в семью,Беларусь,Владимир Зинкевич,Владимир Сычев,Светлана Камынина,7.403
Зависнуть в Палм-Спрингс,США,Макс Барбаков,Энди Сэмберг,Кристин Милиоти,7.298
Треугольник печали,США,Рубен Эстлунд,Харрис Дикинсон,Шарлби Дин,6.53
Звёздные войны: Эпизод 2 – Атака клонов,США,Джордж Лукас,Юэн Макгрегор,Хейден Кристенсен,7.991
Рок-н-рольщик,Великобритания,Гай Ричи,Джерард Батлер,Том Уилкинсон,7.833
Запах женщины,США,Мартин Брест,Аль Пачино,Крис О’Доннелл,8.448
Невидимая сторона,США,Джон Ли Хэнкок,Сандра Буллок,Куинтон Аарон,8.182
Одаренная,США,Марк Уэбб,Крис Эванс,Маккенна Грейс,7.952
Ярость,США,Дэвид Эйр,Брэд Питт,Логан Лерман,7.393
Убить Билла,США,Квентин Тарантино,Ума Турман,Люси Лью,7.678
Гордость и предубеждение,Великобритания,Джо Райт,Кира Найтли,Мэттью Макфэдиен,8.027
Хранители,США,Зак Снайдер,Патрик Уилсон,Мэттью Гуд,7.667
Беспринципные в деревне,Россия,Роман Прыгунов,Павел Деревянко,Оксана Акиньшина,6.502
Крушение,Великобритания,Жан-Франсуа Рише,Джерард Батлер,Майк Колтер,7.118
Залечь на дно в Брюгге,Великобритания,Мартин Макдона,Колин Фаррелл,Брендан Глисон,7.775
Время,США,М. Найт Шьямалан,Гаэль Гарсиа Берналь,Вики Крипс,6.36
Балканский рубеж,Россия,Андрей Волгин,Антон Пампушный,Гоша Куценко,7.651
Форсаж,США,Роб Коэн,Пол Уокер,Вин Дизель,7.768
12 лет рабства,США,Стив МакКуин,Чиветель Эджиофор,Майкл Фассбендер,7.787
Последний охотник на ведьм,США,Брек Эйснер,Вин Дизель,Роуз Лесли,6.134
Звёздные войны: Эпизод 6 – Возвращение Джедая,США,Ричард Маркуанд,Марк Хэмилл,Харрисон Форд,8.156
Игра на понижение,США,Адам МакКей,Кристиан Бэйл,Стив Карелл,7.364
Тихоокеанский рубеж,США,Гильермо дель Торо,Чарли Ханнэм,Идрис Эльба,6.96
Малыш на драйве,Великобритания,Эдгар Райт,Энсел Элгорт,Кевин Спейси,7.194
Правила съема: Метод Хитча,США,Энди Теннант,Уилл Смит,Ева Мендес,7.774
"Хроники Нарнии: Лев, колдунья и волшебный шкаф",Великобритания,Эндрю Адамсон,Джорджи Хенли,Скандар Кейнс,7.312
Господин Никто,Бельгия,Жако ван Дормель,Джаред Лето,Сара Полли,7.913
Звёздные войны: Пробуждение силы,США,Джей Джей Абрамс,Харрисон Форд,Марк Хэмилл,7.074
Люди в черном 3,США,Барри Зонненфельд,Уилл Смит,Джош Бролин,7.229
Основатель,США,Джон Ли Хэнкок,Майкл Китон,Ник Офферман,7.565
Бешеные псы,США,Квентин Тарантино,Харви Кейтель,Тим Рот,8.115
Люди Икс: Начало. Росомаха,США,Гэвин Худ,Хью Джекман,Лив Шрайбер,7.391
Невидимый гость,Испания,Ориол Паоло,Марио Касас,Ана Вахенер,7.82
Мир Юрского периода,США,Колин Треворроу,Крис Пратт,Брайс Даллас Ховард,6.876
Малышка на миллион,США,Клинт Иствуд,Клинт Иствуд,Хилари Суэнк,8.099
Человек-муравей и Оса,США,Пейтон Рид,Пол Радд,Эванджелин Лилли,6.988
Форсаж: Хоббс и Шоу,США,Дэвид Литч,Дуэйн Джонсон,Джейсон Стэйтем,6.301
Непосредственно Каха!,Россия,Виктор Шамиров,Артем Карокозян,Артем Калайджян,4.356
Ворошиловский стрелок,Россия,Станислав Говорухин,Михаил Ульянов,Анна Синякина,7.865
Матрица: Перезагрузка,США,Лана Вачовски,Киану Ривз,Лоренс Фишбёрн,7.735
Гравитация,США,Альфонсо Куарон,Сандра Буллок,Джордж Клуни,7.456
Люди Икс: Первый класс,США,Мэттью Вон,Джеймс МакЭвой,Майкл Фассбендер,7.66
Миллионер из трущоб,Великобритания,Дэнни Бойл,Дев Патель,Фрида Пинто,7.749
Город грехов,США,Фрэнк Миллер,Брюс Уиллис,Микки Рурк,7.862
Васаби,Франция,Жерар Кравчик,Жан Рено,Рёко Хиросуэ,7.709
12 стульев,СССР,Леонид Гайдай,Арчил Гомиашвили,Сергей Филиппов,8.253
Калашников,Россия,Константин Буслов,Юра Борисов,Ольга Лерман,7.733
500 дней лета,США,Марк Уэбб,Джозеф Гордон-Левитт,Зои Дешанель,7.637
300 спартанцев,США,Зак Снайдер,Джерард Батлер,Майкл Фассбендер,7.642
Реальные упыри,Новая,Джемейн Клемент,Джемейн Клемент,Тайка Вайтити,7.451
Реальная любовь,Великобритания,Ричард Кёртис,Хью Грант,Билл Найи,7.914
Парфюмер: История одного убийцы,Германия,Том Тыквер,Бен Уишоу,Дастин Хоффман,7.708
9 рота,Россия,Фёдор Бондарчук,Фёдор Бондарчук,Алексей Чадов,6.746
Ученик чародея,США,Джон Тёртлтауб,Николас Кейдж,Джей Барушель,6.853
